anubi - ospedale per animali da compagnia, 299/a str. Genova 10024 Moncalieri, 011 6813033 ,44.987877300000001, 7.7260346999999996
ambulatorio veterinario associato san paolo, 111/4 v. Issiglio 10141 Torino, 011 3722558 ,45.066995599999998, 7.6409896000000002
centro veterinario torinese srl, 147 lungo dora Colletta 10153 Torino, 011 2482116 ,45.076663199999999, 7.7168348
clinica veterinaria, 89/a c. Un. Sovietica 10100 Torino, 011 3181500 ,45.070851500000003, 7.6843404
luca dr. ferrero medico veterinario, 39/bis/b v. Mazzini 10123 Torino, 011 8121612 338 6927667 ,45.061006599999999, 7.6895439000000003
clinica veterinaria europa, 17 c. Marconi 10125 Torino, 011 6690207 ,45.056083800000003, 7.6807641000000002
dr. abatantuono francesco davide - veterinario, 85/D v. Domodossola 10145 Torino, 333 1211197 ,45.083162700000003, 7.6427451
ambulatorio veterinario dr. sergio pastrone, 246 c. Vercelli 10155 Torino, 011 200126 335 5269444 ,45.108892699999998, 7.6977922999999997
veterinario ponchione dr. piero, 82 c. Brunelleschi 10141 Torino, 011 700262 ,45.067941500000003, 7.6241154
associazione impronta, 40 v. Varallo 10153 Torino, 347 2484047 ,45.071140399999997, 7.7136455000000002
chiesa dr. alessandra ambulatorio veterinario, 96 Via Gorizia 10137 Torino, 011 3241191 ,45.046321300000002, 7.6405383999999996
d.ssa lanfranco anna maria, Via Borgaro 44 10149 Torino, 011 2167863 ,45.0959219, 7.6630095999999996
de luca dr. alessandra medico veterianario, 16/E Via Venalzio 10146 Torino, 011 7792928 ,45.077572400000001, 7.6340813000000001
degan dr. loredana studio veterinario, 108 Via Lucento 10149 Torino, 011 7399338 ,45.103544800000002, 7.6605467999999997
demaria d.ssa sabrina, 19/B Via Assarotti Ottavio 10122 Torino, 011 4407265 ,45.072260399999998, 7.6733535000000002
destefanis dr. piero studio veterinario, 66 Corso Casale 10131 Torino, 011 8197077 ,45.066977399999999, 7.7087215999999996
dott.ssa renda luisa, Via Balme 37/D 10143 Torino, 011 7714948 ,45.081028600000003, 7.6502910000000002
dr. vignetta rosella, Strada S. Mauro 201 10156 Torino, 011 2732094 ,45.102309099999999, 7.7476592999999996
